checkpoint,dataset,layer,aggregation,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var
10B,English,layer_8,mean,190.8171,37.8216,0.66031,0.14,0.2542,0.3317,0.4609,0.5743,0.6943,0.8477,0.9437,0.9996
10B,English,layer_9,mean,194.0546,36.5303,0.662884,0.1437,0.2594,0.333,0.4564,0.5663,0.6849,0.8405,0.9403,0.9996
10B,English,layer_10,mean,182.1357,30.921,0.639833,0.1607,0.2747,0.3468,0.4682,0.5754,0.69,0.8412,0.9398,0.9996
10B,English,layer_11,mean,160.2216,22.3216,0.631342,0.1975,0.3059,0.3723,0.4858,0.5871,0.696,0.8426,0.9399,0.9996
10B,English,layer_12,mean,133.4068,16.6324,0.63423,0.234,0.3373,0.4039,0.5178,0.6147,0.7169,0.8532,0.9437,0.9996
10B,English,layer_13,mean,134.8331,16.8096,0.6309,0.2327,0.3359,0.403,0.5167,0.6131,0.7151,0.8518,0.9428,0.9996
10B,English,layer_14,mean,145.5899,16.7731,0.612382,0.2345,0.3294,0.389,0.4935,0.5879,0.6921,0.8375,0.9368,0.9996
10B,English,layer_15,mean,154.3186,18.3235,0.610768,0.2235,0.3175,0.3783,0.4845,0.5803,0.6863,0.8341,0.9353,0.9996
10B,English,layer_16,mean,162.9884,20.3981,0.611239,0.2104,0.3045,0.3677,0.4777,0.5757,0.6834,0.8324,0.9346,0.9996
10B,English,layer_17,mean,174.1794,23.7387,0.613489,0.1925,0.2885,0.3553,0.4701,0.5703,0.6801,0.8311,0.9341,0.9995
10B,English,layer_18,mean,184.761,25.4664,0.607488,0.1853,0.28,0.3442,0.4568,0.5577,0.6692,0.8247,0.9314,0.9995
10B,English,layer_19,mean,196.4365,27.9558,0.605007,0.1759,0.2679,0.3315,0.444,0.5457,0.6602,0.82,0.9295,0.9995
10B,English,layer_20,mean,207.4301,31.358,0.602941,0.1643,0.2561,0.3215,0.4344,0.538,0.6547,0.8167,0.9279,0.9995
10B,English,layer_21,mean,218.2021,35.5727,0.602671,0.1518,0.2451,0.313,0.4257,0.5308,0.6497,0.8143,0.9269,0.9995
10B,English,layer_22,mean,227.5515,41.3991,0.622011,0.1366,0.2351,0.3053,0.4202,0.5272,0.6482,0.8147,0.9272,0.9995
10B,English,layer_23,mean,235.1607,46.0835,0.607015,0.1263,0.2278,0.2989,0.4155,0.5232,0.6454,0.8137,0.9268,0.9995
10B,English,layer_24,mean,246.4099,52.9157,0.611895,0.1144,0.2157,0.2863,0.4045,0.5142,0.641,0.8135,0.9272,0.9995
10B,English,layer_25,mean,240.7703,59.4432,0.625874,0.1003,0.2124,0.2898,0.416,0.5294,0.656,0.8237,0.9317,0.9995
10B,English,layer_26,mean,234.4042,66.4514,0.645426,0.0865,0.2054,0.2899,0.4254,0.5443,0.6724,0.8357,0.9374,0.9996
10B,English,layer_27,mean,231.1008,65.7334,0.650618,0.0869,0.2062,0.2916,0.4285,0.548,0.6759,0.8385,0.9389,0.9996
10B,English,layer_28,mean,216.8244,55.2003,0.651995,0.1025,0.2233,0.3079,0.4421,0.5587,0.6827,0.8418,0.9404,0.9996
10B,English,layer_29,mean,195.83,43.1746,0.651792,0.1243,0.2488,0.3345,0.4644,0.5755,0.6936,0.8467,0.9421,0.9996
10B,Chinese,layer_0,last,51.7549,13.5673,0.925599,0.1808,0.4905,0.5995,0.7209,0.8086,0.8864,0.9604,0.9895,1.0
10B,Chinese,layer_1,last,75.2546,17.4873,0.869731,0.1902,0.4155,0.5164,0.6529,0.7511,0.8439,0.941,0.9836,0.9999
10B,Chinese,layer_2,last,42.2005,7.7061,0.827082,0.3387,0.5402,0.6229,0.7278,0.8021,0.8716,0.9473,0.9841,0.9999
10B,Chinese,layer_3,last,21.9042,4.1794,0.80877,0.4774,0.6542,0.7168,0.7966,0.8512,0.902,0.9584,0.987,0.9999
10B,Chinese,layer_4,last,15.1248,3.1824,0.798482,0.5527,0.7109,0.764,0.8304,0.8757,0.9175,0.9643,0.9886,0.9999
10B,Chinese,layer_5,last,14.663,3.0904,0.800662,0.5616,0.7159,0.7671,0.8321,0.8764,0.9173,0.9636,0.9881,0.9999
10B,Chinese,layer_6,last,15.5421,3.1997,0.787491,0.5514,0.7083,0.7607,0.8271,0.8722,0.9136,0.9611,0.987,0.9999
10B,Chinese,layer_7,last,22.1277,3.9501,0.771501,0.4945,0.649,0.706,0.7876,0.8439,0.8947,0.9529,0.9843,0.9999
10B,Chinese,layer_8,last,28.7722,4.7153,0.756456,0.4508,0.6047,0.6672,0.7573,0.8213,0.8784,0.9444,0.9811,0.9999
10B,Chinese,layer_9,last,39.1685,6.0733,0.761427,0.3934,0.5538,0.6217,0.7211,0.7937,0.8592,0.935,0.9777,0.9999
10B,Chinese,layer_10,last,65.4178,10.1933,0.749811,0.2976,0.4463,0.5271,0.6514,0.7491,0.8345,0.9241,0.9734,0.9998
10B,Chinese,layer_11,last,82.1285,13.0992,0.734979,0.2585,0.4068,0.4888,0.6166,0.7196,0.8126,0.913,0.9692,0.9998
10B,Chinese,layer_12,last,120.6577,24.9709,0.737856,0.1755,0.308,0.4008,0.553,0.6817,0.794,0.9043,0.9658,0.9998
10B,Chinese,layer_13,last,139.9968,31.0715,0.719689,0.1522,0.2834,0.3762,0.5269,0.6552,0.7728,0.8928,0.961,0.9997
10B,Chinese,layer_14,last,150.7083,31.0473,0.686783,0.1533,0.2872,0.373,0.5154,0.6341,0.7484,0.8766,0.9538,0.9997
10B,Chinese,layer_15,last,163.9254,39.8555,0.685284,0.1252,0.2639,0.3581,0.5076,0.6283,0.7429,0.8736,0.9526,0.9997
10B,Chinese,layer_16,last,172.1692,47.0295,0.679144,0.1052,0.2496,0.35,0.5053,0.6266,0.739,0.8703,0.9509,0.9997
10B,Chinese,layer_17,last,176.7628,49.8019,0.667511,0.0967,0.2465,0.3496,0.5049,0.6237,0.7334,0.8647,0.9482,0.9997
10B,Chinese,layer_18,last,188.4215,54.3626,0.651264,0.0869,0.2383,0.3412,0.494,0.6115,0.7202,0.8544,0.9435,0.9996
10B,Chinese,layer_19,last,202.6431,59.7867,0.636596,0.0757,0.2298,0.3318,0.4812,0.5961,0.7033,0.8423,0.9385,0.9996
10B,Chinese,layer_20,last,212.7151,64.8781,0.628519,0.0669,0.2183,0.3218,0.4734,0.5867,0.6943,0.8356,0.9356,0.9996
10B,Chinese,layer_21,last,240.2619,74.2195,0.615955,0.0609,0.2027,0.2999,0.4432,0.5538,0.6643,0.8189,0.9293,0.9995
10B,Chinese,layer_22,last,243.1003,74.4224,0.615507,0.0644,0.2011,0.2975,0.4398,0.5484,0.6603,0.818,0.9289,0.9995
10B,Chinese,layer_23,last,250.7274,78.3606,0.632932,0.0642,0.1934,0.2874,0.4294,0.5409,0.6556,0.8166,0.9285,0.9995
10B,Chinese,layer_24,last,252.949,78.9907,0.619863,0.0654,0.1915,0.2839,0.4236,0.5368,0.6542,0.8176,0.9291,0.9995
10B,Chinese,layer_25,last,237.3572,72.9395,0.626688,0.0692,0.2009,0.2956,0.4404,0.5543,0.6696,0.8265,0.9325,0.9995
10B,Chinese,layer_26,last,227.8128,71.5865,0.64228,0.0687,0.2044,0.2989,0.4461,0.564,0.6828,0.8375,0.9373,0.9996
10B,Chinese,layer_27,last,219.8305,68.9473,0.647705,0.0684,0.211,0.3073,0.455,0.5727,0.6902,0.8424,0.9395,0.9996
10B,Chinese,layer_28,last,211.1228,65.7769,0.652871,0.0679,0.2213,0.3195,0.4651,0.5813,0.6974,0.8471,0.9416,0.9996
10B,Chinese,layer_29,last,194.5964,56.2471,0.655825,0.0807,0.2441,0.3416,0.4833,0.5963,0.7087,0.853,0.9438,0.9996
10B,Chinese,layer_0,mean,160.6097,59.3503,0.971756,0.0916,0.2014,0.2936,0.4613,0.6208,0.7791,0.9315,0.9845,0.9999
10B,Chinese,layer_1,mean,161.4609,49.9048,0.876524,0.1101,0.2185,0.3056,0.4682,0.6185,0.7683,0.9183,0.9782,0.9999
10B,Chinese,layer_2,mean,163.6366,40.5173,0.811804,0.1325,0.2371,0.3192,0.4698,0.6093,0.7498,0.9014,0.971,0.9999
10B,Chinese,layer_3,mean,161.3715,34.4951,0.772616,0.1489,0.2547,0.3339,0.4761,0.6068,0.7402,0.8908,0.9659,0.9998
10B,Chinese,layer_4,mean,163.2914,33.8,0.746779,0.1506,0.259,0.339,0.4795,0.6055,0.7341,0.8833,0.962,0.9998
10B,Chinese,layer_5,mean,168.4063,35.9675,0.72641,0.1427,0.2597,0.3417,0.4804,0.6024,0.7277,0.8765,0.9584,0.9998
10B,Chinese,layer_6,mean,174.8237,36.4685,0.708419,0.1421,0.2586,0.3389,0.4741,0.5932,0.7175,0.8685,0.9546,0.9997
10B,Chinese,layer_7,mean,175.6366,37.1119,0.696429,0.1394,0.2595,0.342,0.4784,0.5957,0.7168,0.8653,0.9525,0.9997
10B,Chinese,layer_8,mean,176.0781,34.557,0.681549,0.1474,0.2655,0.3459,0.4771,0.5906,0.7096,0.8591,0.9495,0.9997
10B,Chinese,layer_9,mean,164.7854,27.4536,0.667469,0.1726,0.2857,0.3624,0.4857,0.5936,0.7084,0.8559,0.9475,0.9997
10B,Chinese,layer_10,mean,142.2283,19.8719,0.658416,0.2104,0.3179,0.3914,0.5083,0.6101,0.7184,0.8589,0.9478,0.9997
10B,Chinese,layer_11,mean,112.2035,12.8595,0.647193,0.2697,0.3672,0.4333,0.5391,0.6317,0.7315,0.8635,0.9488,0.9997
10B,Chinese,layer_12,mean,85.482,9.1505,0.645304,0.3238,0.4156,0.4787,0.5787,0.664,0.7544,0.8743,0.9525,0.9997
10B,Chinese,layer_13,mean,83.9721,8.8671,0.638003,0.3293,0.4214,0.4832,0.5805,0.6639,0.7529,0.8724,0.9513,0.9997
10B,Chinese,layer_14,mean,87.8005,8.7652,0.637372,0.332,0.4174,0.4746,0.5667,0.6483,0.7383,0.8627,0.947,0.9996
10B,Chinese,layer_15,mean,92.908,9.4172,0.620038,0.3195,0.4078,0.4668,0.561,0.6438,0.7346,0.8605,0.946,0.9996
10B,Chinese,layer_16,mean,100.1617,10.3956,0.619562,0.3031,0.3938,0.4546,0.5528,0.6377,0.7302,0.8581,0.9448,0.9996
10B,Chinese,layer_17,mean,108.3982,11.4061,0.615589,0.2885,0.3805,0.4418,0.5419,0.6281,0.7226,0.8534,0.9427,0.9996
10B,Chinese,layer_18,mean,117.6761,12.7068,0.613308,0.2722,0.3656,0.4277,0.53,0.6191,0.716,0.8495,0.9409,0.9996
10B,Chinese,layer_19,mean,126.8097,13.8561,0.608073,0.2599,0.3533,0.4147,0.5173,0.6079,0.7072,0.8439,0.9383,0.9996
10B,Chinese,layer_20,mean,136.9388,15.2985,0.603191,0.2463,0.3399,0.4012,0.5049,0.5973,0.6986,0.8384,0.9358,0.9995
10B,Chinese,layer_21,mean,147.8784,17.9417,0.606313,0.2249,0.3248,0.3886,0.4968,0.5925,0.6964,0.8376,0.9353,0.9995
10B,Chinese,layer_22,mean,154.8297,19.9898,0.606962,0.2106,0.3167,0.382,0.4922,0.5894,0.6946,0.8368,0.9348,0.9995
10B,Chinese,layer_23,mean,162.4054,24.027,0.614396,0.1875,0.3031,0.3746,0.4932,0.5937,0.6996,0.8402,0.9362,0.9995
10B,Chinese,layer_24,mean,173.0787,28.2978,0.619502,0.1689,0.2879,0.3626,0.4846,0.5879,0.6967,0.84,0.9364,0.9995
10B,Chinese,layer_25,mean,175.6158,33.2495,0.628262,0.1491,0.2784,0.3624,0.4913,0.5967,0.7049,0.8452,0.9387,0.9996
10B,Chinese,layer_26,mean,185.6948,41.3446,0.639287,0.1256,0.2582,0.3486,0.4851,0.5948,0.7063,0.8482,0.9405,0.9996
10B,Chinese,layer_27,mean,193.6486,48.9294,0.643564,0.107,0.2431,0.3389,0.4811,0.5931,0.7057,0.8485,0.941,0.9996
10B,Chinese,layer_28,mean,193.4753,46.2228,0.640932,0.1148,0.2427,0.3397,0.4796,0.5899,0.702,0.8463,0.9402,0.9996
10B,Chinese,layer_29,mean,160.5741,30.1817,0.641833,0.1583,0.286,0.3806,0.5136,0.6165,0.7203,0.8554,0.9437,0.9996
10B,French,layer_0,last,10.5172,3.8623,1.102816,0.4742,0.7681,0.8556,0.9301,0.9579,0.978,0.9934,0.9985,1.0
10B,French,layer_1,last,31.4568,6.3254,0.98261,0.3766,0.5769,0.6606,0.7599,0.8367,0.9042,0.9691,0.9929,1.0
10B,French,layer_2,last,18.6727,3.7427,0.913004,0.5081,0.6648,0.7323,0.8091,0.8675,0.9181,0.9701,0.9922,1.0
10B,French,layer_3,last,11.2883,2.6301,0.876814,0.6118,0.7389,0.7922,0.8531,0.897,0.9348,0.9748,0.9929,1.0
10B,French,layer_4,last,8.9664,2.3119,0.856212,0.6539,0.7727,0.8197,0.8733,0.911,0.9433,0.9773,0.9933,1.0
10B,French,layer_5,last,9.3164,2.347,0.835096,0.6488,0.7665,0.8146,0.8694,0.9075,0.9403,0.9753,0.9924,1.0
10B,French,layer_6,last,10.4576,2.4897,0.812044,0.6293,0.7513,0.8011,0.8592,0.8991,0.9339,0.9717,0.991,1.0
10B,French,layer_7,last,15.7354,3.1003,0.802703,0.5622,0.6886,0.7452,0.8163,0.868,0.9139,0.963,0.9881,0.9999
10B,French,layer_8,last,20.8259,3.6728,0.784846,0.515,0.6452,0.7067,0.7866,0.8455,0.8982,0.9552,0.9853,0.9999
10B,French,layer_9,last,28.5533,4.6172,0.774527,0.4564,0.597,0.664,0.7517,0.8192,0.8804,0.947,0.9824,0.9999
10B,French,layer_10,last,47.5758,7.0866,0.77179,0.3639,0.5057,0.5793,0.6857,0.7726,0.8533,0.9355,0.9782,0.9999
10B,French,layer_11,last,60.9004,9.2046,0.7564,0.3147,0.466,0.544,0.6561,0.7477,0.8344,0.9259,0.9745,0.9998
10B,French,layer_12,last,103.7307,19.5712,0.759543,0.203,0.3465,0.4342,0.5755,0.6939,0.8058,0.9139,0.9701,0.9998
10B,French,layer_13,last,126.6914,26.8991,0.740448,0.1653,0.309,0.3985,0.5442,0.6662,0.7836,0.902,0.9653,0.9998
10B,French,layer_14,last,136.208,27.625,0.708073,0.163,0.3068,0.3949,0.535,0.6491,0.7622,0.8878,0.9591,0.9997
10B,French,layer_15,last,149.2533,35.5014,0.705287,0.1334,0.2827,0.3788,0.5258,0.6431,0.7566,0.8843,0.9577,0.9997
10B,French,layer_16,last,160.9817,43.591,0.699845,0.1102,0.2614,0.3617,0.516,0.6378,0.7515,0.8804,0.9559,0.9997
10B,French,layer_17,last,164.7446,46.3272,0.690031,0.1011,0.2572,0.3613,0.5154,0.6365,0.748,0.8765,0.9538,0.9997
10B,French,layer_18,last,172.5053,49.8208,0.678378,0.0918,0.2508,0.3558,0.5079,0.6282,0.7393,0.8702,0.9509,0.9997
10B,French,layer_19,last,176.5601,52.5588,0.669458,0.0823,0.246,0.3529,0.5067,0.6262,0.7359,0.8662,0.9487,0.9997
10B,French,layer_20,last,182.5729,57.153,0.666488,0.0711,0.2352,0.3425,0.5001,0.6227,0.7342,0.8644,0.9476,0.9996
10B,French,layer_21,last,194.9127,60.9867,0.654402,0.0663,0.2279,0.3305,0.487,0.6083,0.7192,0.8544,0.9436,0.9996
10B,French,layer_22,last,196.6642,60.5087,0.651081,0.0687,0.23,0.3271,0.4854,0.6056,0.7156,0.8526,0.9427,0.9996
10B,French,layer_23,last,197.2697,59.4957,0.663275,0.0735,0.2327,0.3296,0.4862,0.603,0.7121,0.8501,0.9416,0.9996
10B,French,layer_24,last,194.9342,57.2469,0.649715,0.0785,0.2385,0.3362,0.4875,0.6013,0.7115,0.8513,0.9424,0.9996
10B,French,layer_25,last,184.8453,52.5269,0.657569,0.087,0.2488,0.3449,0.4977,0.611,0.7218,0.858,0.9452,0.9996
10B,French,layer_26,last,179.6087,51.0163,0.673411,0.0908,0.2506,0.3466,0.4979,0.6149,0.7295,0.8658,0.9491,0.9997
10B,French,layer_27,last,160.7887,43.0848,0.684483,0.1048,0.2739,0.3697,0.5212,0.6361,0.7466,0.8756,0.9532,0.9997
10B,French,layer_28,last,141.3494,35.4723,0.69646,0.123,0.301,0.3973,0.5472,0.659,0.7644,0.8859,0.9575,0.9997
10B,French,layer_29,last,128.0035,30.5142,0.700977,0.1384,0.3223,0.4197,0.5672,0.6755,0.7765,0.892,0.9598,0.9997
10B,French,layer_0,mean,150.8414,54.5889,0.958626,0.0956,0.2152,0.3066,0.4802,0.6365,0.7901,0.9361,0.9852,0.9999
10B,French,layer_1,mean,138.4415,38.6634,0.892753,0.1322,0.2448,0.3346,0.5021,0.6506,0.7939,0.9301,0.9811,0.9999
10B,French,layer_2,mean,137.296,29.3757,0.817372,0.1635,0.2716,0.3528,0.5054,0.6414,0.7747,0.9125,0.9736,0.9999
10B,French,layer_3,mean,136.4612,26.0807,0.775462,0.1772,0.2837,0.3631,0.5106,0.6394,0.7655,0.9021,0.9685,0.9998
10B,French,layer_4,mean,140.8012,26.5785,0.747992,0.1751,0.2837,0.3639,0.5106,0.6355,0.7576,0.8939,0.9644,0.9998
10B,French,layer_5,mean,148.4748,29.3647,0.727408,0.1631,0.2793,0.361,0.5076,0.63,0.7494,0.8863,0.9607,0.9998
10B,French,layer_6,mean,160.1661,32.2477,0.708512,0.1535,0.2724,0.3514,0.4939,0.6149,0.7347,0.8765,0.9564,0.9997
10B,French,layer_7,mean,178.1618,40.856,0.696964,0.1295,0.2503,0.3308,0.4764,0.6006,0.7233,0.8688,0.9529,0.9997
10B,French,layer_8,mean,192.5247,48.9478,0.68513,0.1105,0.2377,0.319,0.4653,0.5886,0.7118,0.8609,0.9494,0.9997
10B,French,layer_9,mean,195.218,46.4872,0.670512,0.1157,0.2451,0.3225,0.4617,0.5808,0.7025,0.8537,0.9461,0.9996
10B,French,layer_10,mean,185.4232,40.3024,0.664982,0.1297,0.2582,0.3352,0.472,0.5892,0.7072,0.8544,0.9458,0.9996
10B,French,layer_11,mean,169.1201,30.025,0.65601,0.1617,0.2834,0.3562,0.4851,0.5961,0.7098,0.8542,0.9452,0.9996
10B,French,layer_12,mean,145.5695,22.6621,0.659607,0.1936,0.308,0.3832,0.5121,0.6207,0.7279,0.8632,0.9484,0.9997
10B,French,layer_13,mean,147.6533,22.8649,0.655811,0.1929,0.3061,0.3818,0.5097,0.6175,0.7247,0.8611,0.9474,0.9996
10B,French,layer_14,mean,159.8964,22.8218,0.636839,0.1953,0.2999,0.3667,0.4866,0.592,0.7016,0.847,0.9414,0.9996
10B,French,layer_15,mean,166.778,24.329,0.635004,0.1885,0.2905,0.3584,0.4787,0.5854,0.6966,0.8441,0.9403,0.9996
10B,French,layer_16,mean,173.9548,26.6724,0.635099,0.1784,0.2797,0.3497,0.4727,0.5811,0.6941,0.8427,0.9396,0.9996
10B,French,layer_17,mean,183.1183,30.8133,0.654472,0.1628,0.2659,0.3394,0.4659,0.5769,0.6927,0.8424,0.9396,0.9996
10B,French,layer_18,mean,191.9204,32.4248,0.648,0.1583,0.2607,0.3311,0.4546,0.5654,0.6828,0.8365,0.9371,0.9996
10B,French,layer_19,mean,201.3946,34.576,0.628136,0.1528,0.2515,0.3207,0.4432,0.5545,0.6741,0.8318,0.9353,0.9996
10B,French,layer_20,mean,211.5421,38.5024,0.626077,0.1428,0.2408,0.3106,0.4328,0.547,0.6689,0.8289,0.9339,0.9995
10B,French,layer_21,mean,218.6572,42.2162,0.626324,0.1342,0.2328,0.3037,0.4272,0.5422,0.6659,0.8278,0.9334,0.9995
10B,French,layer_22,mean,227.6968,47.9262,0.629143,0.1223,0.2235,0.2949,0.4189,0.5357,0.6627,0.8274,0.9334,0.9995
10B,French,layer_23,mean,230.8875,52.3774,0.631366,0.1135,0.2166,0.2924,0.4201,0.5369,0.6641,0.8285,0.9338,0.9995
10B,French,layer_24,mean,238.5119,58.0311,0.635702,0.1046,0.2083,0.2838,0.4119,0.5301,0.6603,0.8286,0.9343,0.9995
10B,French,layer_25,mean,233.4377,62.4444,0.646786,0.0949,0.2061,0.2862,0.4213,0.5412,0.6712,0.8362,0.9377,0.9996
10B,French,layer_26,mean,225.3484,66.3026,0.663783,0.0852,0.204,0.2898,0.4318,0.5551,0.6856,0.8467,0.9425,0.9996
10B,French,layer_27,mean,213.1037,61.49,0.671,0.0888,0.2137,0.3032,0.4468,0.5687,0.6966,0.853,0.9452,0.9996
10B,French,layer_28,mean,188.4158,46.9566,0.675094,0.1126,0.2436,0.3335,0.475,0.5919,0.7128,0.8605,0.9482,0.9996
10B,French,layer_29,mean,166.7502,36.4463,0.675208,0.1363,0.2719,0.3646,0.5018,0.6127,0.7262,0.8663,0.9502,0.9997
10B,Indonesian,layer_0,last,10.0805,3.5973,1.01925,0.4907,0.7894,0.8565,0.9229,0.9497,0.9702,0.9899,0.9976,1.0
10B,Indonesian,layer_1,last,26.3385,5.3114,0.946385,0.4112,0.621,0.6894,0.7755,0.842,0.9039,0.9672,0.992,1.0
10B,Indonesian,layer_2,last,11.9282,2.7599,0.891867,0.5951,0.7393,0.7884,0.846,0.8901,0.9302,0.9735,0.993,1.0
10B,Indonesian,layer_3,last,6.9936,2.0255,0.878859,0.6994,0.8089,0.8459,0.8883,0.9197,0.948,0.9794,0.9942,1.0
10B,Indonesian,layer_4,last,5.5279,1.8056,0.849854,0.7419,0.8381,0.8698,0.9061,0.9323,0.9557,0.982,0.9948,1.0
10B,Indonesian,layer_5,last,5.5366,1.8014,0.847626,0.7428,0.8382,0.8691,0.9054,0.9313,0.9546,0.9812,0.9944,1.0
10B,Indonesian,layer_6,last,6.2158,1.9074,0.830911,0.7211,0.8259,0.8585,0.8972,0.9251,0.9499,0.9787,0.9935,1.0
10B,Indonesian,layer_7,last,8.6822,2.223,0.806481,0.6668,0.7794,0.8185,0.8675,0.9039,0.9357,0.9723,0.9914,1.0
10B,Indonesian,layer_8,last,11.2545,2.5347,0.802693,0.6231,0.7452,0.7872,0.8429,0.8853,0.9228,0.966,0.9891,0.9999
10B,Indonesian,layer_9,last,15.0823,2.9895,0.775774,0.5718,0.7057,0.7517,0.8146,0.8631,0.9071,0.9586,0.9866,0.9999
